notice_id,candidate_count,portal_id
N001257,0,P002
N001265,4,P211
N001273,6,P116
N001281,2,P094
N001289,180,P005
N001297,179,P005
N001305,14,P166
N001313,0,P233
N001321,101,P006
N001329,7,P006
N001337,50,P181
N001345,111,P003
N001353,2,P094
N001361,2,P020
N001369,79,P003
N001377,2,P229
N001385,4,P240
N001393,2,P094
N001401,2,P184
N001409,1,P189
N001417,35,P003
N001425,2,P102
N001433,48,P004
N001441,6,P094
N001449,1,P046
N001457,0,P071
N001465,3,P144
N001473,27,P001
N001481,1,P004
N001489,2,P094
N001497,155,P003
N001505,6,P260
N001513,0,P147
N001521,123,P005
N001529,3,P172
N001537,0,P097
N001545,3,P094
N001553,0,P091
N001561,313,P005
N001569,3,P120
N001577,42,P002
N001585,0,P138
N001593,300,P005
N001601,20,P002
N001609,7,P194
N001617,1,P120
N001625,1,P209
N001633,4,P221
N001641,0,P094
N001649,0,P094
N001657,6,P129
N001665,113,P002
N001673,28,P003
N001681,0,P003
N001689,0,P094
N001697,143,P001
N001705,0,P020
N001713,0,P240
N001721,345,P001
N001729,5,P002
N001737,168,P003
N001745,9,P005
N001753,3,P242
N001761,1,P168
N001769,186,P005
N001777,167,P006
N001785,6,P003
N001793,93,P005
N001801,5,P006
N001809,31,P026
N001817,110,P001
N001825,81,P006
N001833,1,P003
N001841,10,P004
N001849,21,P094
N001857,78,P001
N001865,38,P214
N001873,2,P094
N001881,1,P240
N001889,109,P001
N001897,12,P003
N001905,49,P001
N001913,4,P012
N001921,0,P215
N001929,28,P006
N001937,245,P002
N001945,1,P071
N001953,67,P004
N001961,150,P005
N001969,3,P094
N001977,56,P002
N001985,0,P094
N001993,5,P094
N002001,20,P004
N002009,119,P002
N002017,154,P004
N002025,37,P006
N002033,6,P020
N002041,1,P215
N002049,5,P086
N002057,7,P003
N002065,65,P004
N002073,6,P203
N002081,0,P044
N002089,6,P228
N002097,131,P001
N002105,10,P006
N002113,8,P122
N002121,10,P020
N002129,15,P094
N002137,22,P094
N002145,251,P001
N002153,25,P002
N002161,25,P259
N002169,4,P159
N002177,145,P005
N002185,11,P211
N002193,1,P094
N002201,4,P061
N002209,3,P094
N002217,41,P006
N002225,0,P136
N002233,240,P001
N002241,2,P241
N002249,8,P020
N002257,12,P004
N002265,1,P214
N002273,5,P028
N002281,1,P227
N002289,23,P004
N002297,292,P001
N002305,53,P002
N002313,269,P002
N002321,3,P246
N002329,38,P094
N002337,2,P006
N002345,171,P002
N002353,55,P001
N002361,96,P002
N002369,2,P222
N002377,9,P215
N002385,25,P112
N002393,0,P013
N002401,3,P089
N002409,129,P002
N002417,7,P089
N002425,1,P094
N002433,65,P005
N002441,60,P006
N002449,0,P025
N002457,1,P235
N002465,0,P229
N002473,160,P004
N002481,3,P181
N002489,7,P200
N002497,117,P005
N002505,11,P032
N002513,211,P005
N002521,77,P004
N002529,86,P005
N002537,5,P024
N002545,257,P005
N002553,5,P113
N002561,301,P002
N002569,2,P148
N002577,1,P180
N002585,5,P250
N002593,50,P004
N002601,4,P243
N002609,50,P002
N002617,7,P101
N002625,41,P002
N002633,1,P240
N002641,9,P094
N002649,32,P003
N002657,3,P003
N002665,118,P001
N002673,8,P003
N002681,0,P094
N002689,88,P003
N002697,0,P094
N002705,0,P058
N002713,1,P061
N002721,19,P003
N002729,0,P236
N002737,39,P006
N002745,2,P004
N002753,1,P107
N002761,127,P001
N002769,2,P199
N002777,2,P219
N002785,0,P094
N002793,13,P004
N002801,1,P122
N002809,1,P120
N002817,215,P002
N002825,8,P167
N002833,0,P120
N002841,265,P002
N002849,4,P020
N002857,31,P004
N002865,0,P004
N002873,3,P175
N002881,0,P016
N002889,8,P094
N002897,6,P227
N002905,2,P073
N002913,0,P181
N002921,109,P002
N002929,6,P088
N002937,17,P017
N002945,343,P001
N002953,2,P029
N002961,7,P234
N002969,0,P183
N002977,0,P094
N002985,0,P140
N002993,3,P018
N003001,5,P003
N003009,25,P189
N003017,0,P106
N003025,2,P094
N003033,2,P073
N003041,1,P181
N003049,0,P217
N003057,5,P183
N003065,0,P240
N003073,16,P002
N003081,5,P115
N003089,4,P203
N003097,0,P094
N003105,1,P094
N003113,2,P063
N003121,56,P004
N003129,22,P240
N003137,7,P005
N003145,2,P177
N003153,2,P215
N003161,117,P002
N003169,209,P002
N003177,7,P228
N003185,0,P215
N003193,0,P004
N003201,35,P002
N003209,7,P215
N003217,0,P049
N003225,13,P200
N003233,2,P006
N003241,8,P247
N003249,83,P006
N003257,16,P003
N003265,0,P117
N003273,2,P020
N003281,0,P112
N003289,22,P003
N003297,11,P004
N003305,47,P006
N003313,176,P005
N003321,3,P088
N003329,20,P075
N003337,3,P044
N003345,2,P143
N003353,2,P094
N003361,2,P024
N003369,73,P005
N003377,1,P103
N003385,0,P008
N003393,4,P136
N003401,10,P225
N003409,17,P002
N003417,1,P211
N003425,2,P091
N003433,3,P094
N003441,0,P200
N003449,0,P142
N003457,4,P177
N003465,2,P251
N003473,2,P020
N003481,3,P255
N003489,0,P042
N003497,17,P094
N003505,3,P229
N003513,2,P020
N003521,8,P247
N003529,5,P149
N003537,2,P003
N003545,106,P006
N003553,97,P003
N003561,302,P005
N003569,30,P005
N003577,1,P094
N003585,19,P004
N003593,0,P245
N003601,2,P044
N003609,38,P005
N003617,2,P054
N003625,2,P211
N003633,0,P200
N003641,5,P020
N003649,10,P006
N003657,0,P094
N003665,1,P172
N003673,0,P094
N003681,6,P004
N003689,111,P001
N003697,195,P001
N003705,9,P094
N003713,20,P003
N003721,1,P073
N003729,0,P044
N003737,34,P001
N003745,13,P003
N003753,46,P006
N003761,0,P008
N003769,0,P094
N003777,16,P005
N003785,26,P200
N003793,11,P146
N003801,5,P004
N003809,2,P053
N003817,0,P013
N003825,0,P242
N003833,7,P094
N003841,8,P004
N003849,30,P005
N003857,1,P159
N003865,24,P002
N003873,4,P216
N003881,14,P225
N003889,0,P094
N003897,0,P059
N003905,9,P004
N003913,0,P020
N003921,11,P039
N003929,134,P005
N003937,0,P248
N003945,1,P247
N003953,15,P005
N003961,0,P108
N003969,6,P098
N003977,82,P003
N003985,18,P026
N003993,2,P168
N004001,113,P004
N004009,2,P094
N004017,0,P013
N004025,2,P122
N004033,2,P257
N004041,69,P005
N004049,82,P006
N004057,320,P005
N004065,171,P004
N004073,3,P213
N004081,21,P001
N004089,2,P227
N004097,2,P176
N004105,1,P044
N004113,0,P203
N004121,3,P240
N004129,0,P120
N004137,28,P001
N004145,2,P020
N004153,4,P220
N004161,4,P094
N004169,1,P027
N004177,4,P240
N004185,0,P257
N004193,311,P001
N004201,0,P244
N004209,2,P044
N004217,9,P001
N004225,6,P044
N004233,2,P106
N004241,0,P003
N004249,8,P255
N004257,0,P165
N004265,6,P044
N004273,10,P094
N004281,7,P006
N004289,9,P094
N004297,134,P002
N004305,37,P001
N004313,0,P060
N004321,0,P094
N004329,5,P094
N004337,2,P094
N004345,4,P003
N004353,6,P078
N004361,8,P004
N004369,1,P089
N004377,2,P103
N004385,6,P041
N004393,6,P057
N004401,292,P001
N004409,0,P094
N004417,2,P004
N004425,107,P002
N004433,10,P004
N004441,16,P004
N004449,0,P221
N004457,4,P215
N004465,253,P002
N004473,2,P128
N004481,2,P001
N004489,2,P006
N004497,2,P094
N004505,2,P094
N004513,57,P005
N004521,4,P020
N004529,1,P131
N004537,264,P005
N004545,7,P049
N004553,4,P094
N004561,69,P001
N004569,90,P003
N004577,3,P020
N004585,0,P215
N004593,0,P013
N004601,0,P240
N004609,4,P002
N004617,114,P002
N004625,102,P001
N004633,54,P003
N004641,27,P141
N004649,3,P181
N004657,29,P004
N004665,2,P065
N004673,0,P191
N004681,8,P217
N004689,2,P240
N004697,0,P094
N004705,32,P088
N004713,3,P255
N004721,92,P002
N004729,101,P004
N004737,34,P003
N004745,1,P049
N004753,1,P246
N004761,15,P189
N004769,93,P006
N004777,326,P005
N004785,203,P005
N004793,17,P005
N004801,104,P002
N004809,38,P001
N004817,23,P004
N004825,2,P246
N004833,21,P006
N004841,1,P003
N004849,0,P199
N004857,3,P094
N004865,0,P146
N004873,4,P065
N004881,1,P166
N004889,26,P005
N004897,1,P094
N004905,1,P218
N004913,1,P021
N004921,13,P045
N004929,1,P094
N004937,17,P004
N004945,49,P005
N004953,3,P094
N004961,94,P003
N004969,9,P001
N004977,0,P077
N004985,3,P238
N004993,127,P005
N005001,8,P018
N005009,1,P004
N005017,0,P120
N005025,0,P240
N005033,0,P050
N005041,2,P146
N005049,3,P094
N005057,2,P200
N005065,4,P060
N005073,5,P061
N005081,1,P213
N005089,1,P020
N005097,0,P215
N005105,4,P250
N005113,0,P091
N005121,2,P232
N005129,7,P094
N005137,5,P154
N005145,4,P094
N005153,5,P116
N005161,7,P143
N005169,7,P003
N005177,128,P004
N005185,22,P131
N005193,1,P240
N005201,5,P004
N005209,0,P069
N005217,359,P005
N005225,1,P004
N005233,12,P003
N005241,4,P227
N005249,63,P001
N005257,260,P002
N005265,48,P004
N005273,133,P002
N005281,4,P118
N005289,25,P005
N005297,55,P006
N005305,5,P094
N005313,0,P094
N005321,4,P044
N005329,0,P131
N005337,10,P003
N005345,21,P001
N005353,144,P005
N005361,1,P183
N005369,242,P005
N005377,0,P094
N005385,33,P002
N005393,10,P211
N005401,2,P106
N005409,0,P094
N005417,3,P044
N005425,1,P146
N005433,8,P094
N005441,3,P146
N005449,3,P094
N005457,0,P186
N005465,24,P020
N005473,14,P001
N005481,10,P142
N005489,6,P003
N005497,52,P003
N005505,5,P073
N005513,45,P001
N005521,3,P181
N005529,0,P075
N005537,0,P088
N005545,2,P059
N005553,3,P106
N005561,0,P094
N005569,4,P094
N005577,7,P048
N005585,1,P020
N005593,87,P004
N005601,0,P094
N005609,9,P240
N005617,201,P002
N005625,2,P041
N005633,0,P006
N005641,1,P253
N005649,5,P020
N005657,0,P202
N005665,257,P001
N005673,3,P014
N005681,63,P005
N005689,117,P005
N005697,50,P166
N005705,0,P143
N005713,0,P077
N005721,7,P023
N005729,51,P001
N005737,15,P005
N005745,2,P240
N005753,0,P069
N005761,5,P006
N005769,0,P094
N005777,3,P094
N005785,3,P197
N005793,91,P002
N005801,6,P005
N005809,28,P004
N005817,1,P039
N005825,7,P215
N005833,18,P240
N005841,42,P002
N005849,86,P003
N005857,1,P094
N005865,0,P240
N005873,108,P002
N005881,1,P120
N005889,12,P006
N005897,9,P003
N005905,1,P020
N005913,0,P096
N005921,15,P075
N005929,7,P213
N005937,3,P094
N005945,7,P147
N005953,3,P040
N005961,3,P200
N005969,0,P094
N005977,0,P136
N005985,77,P004
N005993,2,P056
N006001,50,P235
N006009,46,P006
N006017,6,P141
N006025,3,P074
N006033,21,P094
N006041,87,P003
N006049,24,P002
N006057,27,P004
N006065,24,P004
N006073,0,P028
N006081,156,P004
N006089,1,P204
N006097,5,P094
N006105,8,P094
N006113,154,P003
N006121,16,P004
N006129,123,P001
N006137,1,P006
N006145,0,P064
N006153,50,P004
N006161,7,P003
N006169,2,P029
N006177,2,P215
N006185,3,P228
N006193,1,P020
N006201,0,P122
N006209,321,P001
N006217,3,P204
N006225,17,P001
N006233,0,P181
N006241,90,P004
N006249,1,P094
N006257,159,P004
N006265,2,P213
N006273,1,P229
N006281,17,P003
N006289,4,P020
N006297,14,P006
N006305,5,P094
N006313,0,P101
N006321,24,P053
N006329,1,P041
N006337,10,P181
N006345,4,P238
N006353,107,P003
N006361,0,P167
N006369,31,P005
N006377,6,P130
N006385,77,P004
N006393,180,P001
N006401,13,P003
N006409,7,P094
N006417,5,P094
N006425,2,P094
N006433,107,P005
N006441,76,P003
N006449,94,P003
N006457,22,P003
N006465,1,P094
N006473,0,P003
N006481,86,P006
N006489,3,P073
N006497,5,P215
N006505,4,P020
N006513,1,P142
N006521,6,P006
N006529,38,P195
N006537,21,P004
N006545,2,P156
N006553,2,P094
N006561,1,P094
N006569,61,P005
N006577,135,P006
N006585,4,P073
N006593,156,P006
N006601,18,P001
N006609,5,P038
N006617,15,P240
N006625,4,P006
N006633,106,P005
N006641,1,P189
N006649,10,P020
N006657,2,P094
N006665,112,P005
N006673,19,P094
N006681,3,P167
N006689,25,P094
N006697,1,P003
N006705,208,P004
N006713,8,P189
N006721,6,P120
N006729,11,P020
N006737,0,P215
N006745,76,P003
N006753,28,P002
N006761,2,P094
N006769,0,P071
N006777,96,P004
N006785,2,P094
N006793,22,P215
N006801,7,P003
N006809,8,P094
N006817,9,P051
N006825,5,P098
N006833,0,P094
N006841,80,P006
N006849,2,P129
N006857,4,P094
N006865,1,P141
N006873,0,P007
N006881,5,P221
N006889,2,P094
N006897,7,P002
N006905,3,P189
N006913,11,P007
N006921,4,P260
N006929,2,P114
N006937,19,P005
N006945,2,P094
N006953,6,P094
N006961,1,P044
N006969,2,P108
N006977,4,P215
N006985,1,P094
N006993,7,P165
N007001,13,P020
N007009,0,P151
N007017,2,P067
N007025,8,P260
N007033,33,P003
N007041,0,P059
N007049,0,P094
N007057,201,P002
N007065,82,P004
N007073,1,P004
N007081,0,P197
N007089,5,P167
N007097,249,P005
N007105,1,P105
N007113,2,P061
N007121,0,P094
N007129,19,P143
N007137,3,P240
N007145,2,P003
N007153,274,P001
N007161,1,P227
N007169,14,P215
N007177,168,P005
N007185,216,P002
N007193,96,P002
N007201,3,P010
N007209,2,P081
N007217,300,P002
N007225,0,P229
N007233,19,P005
N007241,19,P146
N007249,32,P005
N007257,0,P006
N007265,176,P001
N007273,42,P003
N007281,9,P004
N007289,246,P001
N007297,2,P053
N007305,3,P020
N007313,4,P205
N007321,8,P094
N007329,0,P094
N007337,0,P215
N007345,4,P146
N007353,61,P002
N007361,54,P001
N007369,38,P006
N007377,1,P006
N007385,0,P127
N007393,2,P094
N007401,41,P002
N007409,79,P003
N007417,3,P044
N007425,128,P002
N007433,0,P042
N007441,3,P006
N007449,251,P002
N007457,6,P122
N007465,159,P005
N007473,0,P163
N007481,4,P094
N007489,14,P003
N007497,73,P005
N007505,3,P020
N007513,16,P003
N007521,3,P020
N007529,204,P005
N007537,3,P094
N007545,3,P076
N007553,1,P094
N007561,0,P094
N007569,5,P057
N007577,1,P187
N007585,6,P002
N007593,167,P005
N007601,7,P129
N007609,7,P129
N007617,1,P020
N007625,220,P005
N007633,22,P051
N007641,82,P003
N007649,0,P004
N007657,164,P003
N007665,3,P189
N007673,215,P001
N007681,140,P005
N007689,65,P006
N007697,5,P006
N007705,14,P002
N007713,6,P133
N007721,10,P006
N007729,24,P075
N007737,9,P060
N007745,0,P241
N007753,3,P042
N007761,15,P038
N007769,2,P094
N007777,14,P060
N007785,6,P020
N007793,139,P005
N007801,188,P006
N007809,263,P001
N007817,162,P006
N007825,0,P002
N007833,3,P240
N007841,105,P002
N007849,11,P006
N007857,23,P236
N007865,4,P006
N007873,0,P088
N007881,5,P020
N007889,75,P006
N007897,156,P001
N007905,6,P094
N007913,0,P094
N007921,22,P003
N007929,3,P229
N007937,109,P005
N007945,2,P084
N007953,5,P072
N007961,0,P100
N007969,5,P059
N007977,1,P094
N007985,1,P258
N007993,1,P072
N008001,3,P056
N008009,4,P020
N008017,43,P001
N008025,27,P129
N008033,1,P211
N008041,2,P148
N008049,2,P248
N008057,3,P108
N008065,8,P185
N008073,2,P070
N008081,6,P006
N008089,1,P081
N008097,2,P094
N008105,5,P236
N008113,0,P090
N008121,0,P044
N008129,2,P041
N008137,115,P005
N008145,267,P001
N008153,1,P094
N008161,54,P002
N008169,11,P002
N008177,3,P053
N008185,76,P002
N008193,3,P003
N008201,79,P003
N008209,4,P136
N008217,3,P061
N008225,256,P001
N008233,0,P065
N008241,45,P002
N008249,195,P001
N008257,7,P086
N008265,9,P004
N008273,8,P044
N008281,4,P200
N008289,3,P020
N008297,0,P242
N008305,232,P001
N008313,183,P001
N008321,51,P004
N008329,3,P216
N008337,2,P238
N008345,2,P094
N008353,1,P231
N008361,1,P094
N008369,13,P052
N008377,0,P017
N008385,2,P044
N008393,1,P038
N008401,139,P005
N008409,2,P094
N008417,1,P004
N008425,0,P094
N008433,2,P164
N008441,189,P005
N008449,0,P084
N008457,4,P046
N008465,312,P002
N008473,0,P094
N008481,21,P006
N008489,3,P003
N008497,153,P005
N008505,24,P004
N008513,1,P021
N008521,0,P158
N008529,3,P181
N008537,0,P001
N008545,2,P071
N008553,89,P003
N008561,2,P048
N008569,4,P136
N008577,23,P006
N008585,240,P002
N008593,1,P059
N008601,2,P094
N008609,75,P002
N008617,1,P071
N008625,22,P002
N008633,77,P003
N008641,15,P004
N008649,5,P216
N008657,326,P005
N008665,2,P064
N008673,6,P044
N008681,14,P094
N008689,3,P044
N008697,60,P005
N008705,4,P189
N008713,37,P002
N008721,5,P006
N008729,1,P006
N008737,0,P207
N008745,1,P209
N008753,3,P169
N008761,3,P141
N008769,15,P177
N008777,6,P001
N008785,0,P013
N008793,254,P001
N008801,0,P193
N008809,2,P044
N008817,3,P094
N008825,114,P001
N008833,6,P060
N008841,6,P041
N008849,29,P003
N008857,3,P215
N008865,1,P240
N008873,3,P004
N008881,3,P020
N008889,2,P094
N008897,4,P094
N008905,64,P042
N008913,80,P003
N008921,0,P184
N008929,0,P002
N008937,3,P151
N008945,65,P002
N008953,4,P111
N008961,7,P189
N008969,308,P005
N008977,7,P071
N008985,14,P002
N008993,4,P168
N009001,6,P146
N009009,0,P003
N009017,8,P207
N009025,7,P228
N009033,1,P216
N009041,1,P222
N009049,106,P005
N009057,15,P004
N009065,258,P005
N009073,8,P004
N009081,0,P229
N009089,5,P094
N009097,3,P044
N009105,3,P240
N009113,0,P156
N009121,0,P053
N009129,19,P094
N009137,2,P094
N009145,22,P240
N009153,2,P028
N009161,3,P183
N009169,77,P002
N009177,0,P094
N009185,3,P020
N009193,0,P037
N009201,4,P255
N009209,0,P221
N009217,0,P223
N009225,7,P003
N009233,69,P003
N009241,5,P183
N009249,87,P003
N009257,24,P241
N009265,28,P004
N009273,5,P129
N009281,28,P002
N009289,0,P094
N009297,138,P005
N009305,4,P122
N009313,13,P194
N009321,3,P094
N009329,1,P013
N009337,1,P040
N009345,139,P004
N009353,5,P038
N009361,192,P002
N009369,33,P006
N009377,0,P020
N009385,6,P227
N009393,4,P137
N009401,1,P097
N009409,14,P006
N009417,4,P249
N009425,208,P002
N009433,64,P003
N009441,2,P020
N009449,4,P094
N009457,0,P231
N009465,1,P192
N009473,30,P001
N009481,3,P234
N009489,67,P003
N009497,6,P001
N009505,5,P214
N009513,0,P094
N009521,70,P005
N009529,0,P151
N009537,0,P254
N009545,1,P107
N009553,26,P004
N009561,104,P002
N009569,2,P189
N009577,3,P006
N009585,100,P002
N009593,2,P020
N009601,81,P001
N009609,225,P001
N009617,99,P005
N009625,29,P006
N009633,162,P004
N009641,160,P005
N009649,21,P001
N009657,168,P001
N009665,154,P003
N009673,82,P006
N009681,0,P238
N009689,3,P004
N009697,181,P005
N009705,4,P172
N009713,85,P005
N009721,106,P005
N009729,2,P094
N009737,18,P183
N009745,31,P002
N009753,5,P240
N009761,80,P004
N009769,14,P004
N009777,2,P003
N009785,3,P073
N009793,2,P227
N009801,11,P001
N009809,1,P094
N009817,0,P020
N009825,41,P006
N009833,0,P131
N009841,17,P003
N009849,4,P088
N009857,7,P224
N009865,5,P088
N009873,0,P196
N009881,7,P006
N009889,2,P094
N009897,6,P094
N009905,0,P126
N009913,0,P049
N009921,6,P134
N009929,1,P039
N009937,2,P094
N009945,9,P003
N009953,8,P180
N009961,76,P001
N009969,138,P004
N009977,5,P020
N009985,76,P001
N009993,10,P199
N010001,31,P002
N010009,6,P260
N010017,0,P021
N010025,6,P044
N010033,50,P124
N010041,3,P181
N010049,5,P180
N010057,11,P020
N010065,2,P240
N010073,53,P004
N010081,0,P094
N010089,0,P094
N010097,32,P003
N010105,40,P005
N010113,4,P223
N010121,87,P001
N010129,0,P088
N010137,5,P094
N010145,3,P094
N010153,0,P094
N010161,6,P195
N010169,2,P094
N010177,219,P005
N010185,206,P006
N010193,0,P240
N010201,0,P044
N010209,66,P004
N010217,0,P240
N010225,0,P198
N010233,13,P232
N010241,1,P124
N010249,90,P005
N010257,103,P001
N010265,0,P056
N010273,0,P094
N010281,2,P240
N010289,67,P004
N010297,80,P004
N010305,10,P094
N010313,6,P004
N010321,206,P001
N010329,2,P227
N010337,2,P094
N010345,1,P006
N010353,285,P002
N010361,4,P255
N010369,1,P094
N010377,112,P005
N010385,0,P221
N010393,2,P020
N010401,4,P178
N010409,51,P002
N010417,123,P002
N010425,8,P213
N010433,0,P021
N010441,78,P001
N010449,1,P094
N010457,6,P002
N010465,10,P094
N010473,12,P006
N010481,3,P075
N010489,5,P003
N010497,322,P002
N010505,101,P005
N010513,3,P001
N010521,11,P051
N010529,2,P129
N010537,1,P227
N010545,0,P181
N010553,1,P094
N010561,5,P004
N010569,3,P006
N010577,1,P217
N010585,86,P004
N010593,0,P219
N010601,9,P094
N010609,25,P005
N010617,0,P094
N010625,2,P014
N010633,2,P020
N010641,2,P094
N010649,0,P073
N010657,101,P002
N010665,6,P127
N010673,4,P088
N010681,5,P175
N010689,6,P006
N010697,0,P254
N010705,3,P031
N010713,1,P094
N010721,0,P215
N010729,7,P094
N010737,1,P094
N010745,249,P002
N010753,39,P001
N010761,6,P073
N010769,15,P003
N010777,4,P215
N010785,2,P094
N010793,7,P042
N010801,8,P180
N010809,12,P183
N010817,8,P005
N010825,14,P215
N010833,196,P005
N010841,2,P106
N010849,1,P020
N010857,4,P004
N010865,1,P227
N010873,3,P005
N010881,8,P004
N010889,1,P129
N010897,4,P094
N010905,77,P001
N010913,69,P002
N010921,3,P067
N010929,6,P235
N010937,189,P005
N010945,1,P250
N010953,2,P230
N010961,0,P240
N010969,1,P232
N010977,0,P240
N010985,51,P002
N010993,0,P020
N011001,3,P004
N011009,125,P001
N011017,10,P001
N011025,2,P094
N011033,7,P002
N011041,72,P001
N011049,6,P073
N011057,0,P004
N011065,9,P181
N011073,13,P006
N011081,205,P005
N011089,0,P152
N011097,12,P001
N011105,45,P005
N011113,1,P112
N011121,1,P238
N011129,8,P006
N011137,0,P200
N011145,3,P157
N011153,0,P094
N011161,2,P020
N011169,9,P112
N011177,0,P217
N011185,1,P094
N011193,95,P003
N011201,5,P094
N011209,86,P003
N011217,3,P141
N011225,16,P003
N011233,1,P048
N011241,156,P004
N011249,0,P094
N011257,3,P094
N011265,0,P061
N011273,1,P098
N011281,2,P003
N011289,0,P062
N011297,123,P001
N011305,7,P020
N011313,1,P094
N011321,0,P189
N011329,70,P006
N011337,4,P044
N011345,17,P005
N011353,46,P006
N011361,122,P006
N011369,2,P036
N011377,0,P069
N011385,4,P096
N011393,2,P003
N011401,15,P047
N011409,21,P002
N011417,2,P222
N011425,4,P088
N011433,22,P001
N011441,4,P105
N011449,225,P005
N011457,1,P217
N011465,6,P017
N011473,87,P005
N011481,4,P003
N011489,0,P020
N011497,14,P003
N011505,0,P094
N011513,1,P091
N011521,28,P005
N011529,1,P004
N011537,1,P157
N011545,3,P241
N011553,0,P209
N011561,8,P004
N011569,76,P003
N011577,1,P200
N011585,124,P001
N011593,251,P002
N011601,2,P191
N011609,0,P049
N011617,158,P006
N011625,292,P005
N011633,0,P094
N011641,23,P208
N011649,0,P136
N011657,1,P229
N011665,202,P005
N011673,10,P257
N011681,9,P181
N011689,3,P020
N011697,0,P177
N011705,3,P259
N011713,96,P002
N011721,15,P003
N011729,43,P003
N011737,307,P005
N011745,2,P005
N011753,77,P003
N011761,76,P003
N011769,17,P006
N011777,10,P079
N011785,2,P255
N011793,80,P004
N011801,0,P006
N011809,0,P094
N011817,5,P094
N011825,3,P027
N011833,2,P189
N011841,2,P084
N011849,15,P002
N011857,19,P004
N011865,1,P005
N011873,3,P213
N011881,17,P004
N011889,80,P004
N011897,2,P107
N011905,2,P188
N011913,0,P094
N011921,67,P002
N011929,41,P005
N011937,0,P181
N011945,4,P094
N011953,160,P003
N011961,0,P006
N011969,36,P094
N011977,0,P016
N011985,0,P181
N011993,1,P031
N000002,18,P002
N000010,90,P004
N000018,0,P094
N000026,7,P001
N000034,23,P225
N000042,4,P006
N000050,4,P225
N000058,205,P001
N000066,0,P112
N000074,0,P238
N000082,1,P006
N000090,5,P236
N000098,74,P002
N000106,1,P028
N000114,23,P004
N000122,1,P189
N000130,1,P122
N000138,0,P255
N000146,2,P096
N000154,3,P089
N000162,152,P002
N000170,4,P137
N000178,1,P094
N000186,220,P001
N000194,2,P205
N000202,5,P017
N000210,143,P001
N000218,2,P146
N000226,82,P003
N000234,40,P004
N000242,3,P088
N000250,0,P006
N000258,19,P005
N000266,5,P080
N000274,14,P005
N000282,3,P019
N000290,1,P081
N000298,0,P094
N000306,6,P004
N000314,256,P002
N000322,6,P215
N000330,1,P006
N000338,23,P001
N000346,68,P002
N000354,2,P181
N000362,3,P094
N000370,2,P084
N000378,3,P044
N000386,174,P001
N000394,192,P005
N000402,25,P002
N000410,17,P170
